sym,sector,signal_type,regime,entry_date,entry,stop,target,bars_held,is_short,smart_rank,exit_date,exit,pnl_pct,rr,outcome
ADIB,BANKS,early,NEUTRAL,2023-04-03,16.08,15.67,17.61,3,False,32.76,2023-04-06,15.67,-3.12,1.0,LOSS
CIEB,BANKS,early,NEUTRAL,2023-04-05,7.67,7.48,8.41,2,False,32.25,2023-04-09,7.48,-3.05,1.0,LOSS
CIEB,BANKS,early,NEUTRAL,2023-04-09,7.42,7.13,8.13,5,False,32.04,2023-04-18,8.13,8.99,2.45,WIN
FWRY,SERVICES,early,NEUTRAL,2023-04-02,5.65,5.42,6.19,15,False,31.57,2023-05-01,5.849999904632568,2.96,0.87,EXIT
TMGH,REAL_ESTATE,early,NEUTRAL,2023-04-30,9.58,9.29,10.49,2,False,31.34,2023-05-02,9.29,-3.6,1.0,LOSS
TMGH,REAL_ESTATE,early,NEUTRAL,2023-05-30,9.41,9.13,10.31,7,False,33.78,2023-06-08,9.13,-3.55,1.0,LOSS
SAUD,BANKS,early,NEUTRAL,2023-06-14,7.75,7.44,8.49,10,False,30.43,2023-07-05,7.44,-4.57,1.0,LOSS
KZPC,INDUSTRIAL,early,NEUTRAL,2023-07-18,5.51,5.37,6.04,5,False,33.22,2023-07-27,5.37,-3.12,1.0,LOSS
JUFO,SERVICES,ultra,NEUTRAL,2023-07-13,12.09,11.73,13.25,9,False,32.6,2023-07-30,13.25,9.02,3.22,WIN
HELI,REAL_ESTATE,ultra,NEUTRAL,2023-08-03,10.0,9.7,10.95,1,False,30.5,2023-08-06,10.95,8.92,3.17,WIN
HELI,REAL_ESTATE,early,NEUTRAL,2023-08-07,11.2,10.86,12.27,1,False,30.65,2023-08-08,10.86,-3.61,1.0,LOSS
SAUD,BANKS,early,NEUTRAL,2023-07-26,7.68,7.49,8.41,15,False,36.27,2023-08-16,7.774661540985107,0.66,0.5,EXIT
COMI,BANKS,early,BULL,2023-07-27,49.14,47.66,53.83,15,False,32.61,2023-08-17,50.94862747192383,3.11,1.22,EXIT
HELI,REAL_ESTATE,early,NEUTRAL,2023-08-08,10.83,10.51,11.87,9,False,31.29,2023-08-21,11.87,9.03,3.25,WIN
ADIB,BANKS,ultra,NEUTRAL,2023-08-29,20.72,20.1,22.7,3,False,31.82,2023-09-03,20.1,-3.57,1.0,LOSS
KZPC,INDUSTRIAL,ultra,NEUTRAL,2023-08-14,5.48,5.31,6.0,15,False,33.1,2023-09-04,5.711404323577881,3.65,1.36,EXIT
PHDC,REAL_ESTATE,ultra,NEUTRAL,2023-08-28,2.01,1.95,2.2,5,False,32.8,2023-09-04,1.95,-3.56,1.0,LOSS
ADIB,BANKS,ultra,NEUTRAL,2023-09-14,20.6,19.98,22.56,3,False,32.76,2023-09-19,19.98,-3.58,1.0,LOSS
PHDC,REAL_ESTATE,buy,NEUTRAL,2023-09-19,2.05,1.99,2.25,11,False,31.07,2023-10-08,1.99,-3.5,1.0,LOSS
CIEB,BANKS,early,NEUTRAL,2023-10-12,12.42,12.11,13.61,2,False,30.83,2023-10-16,13.61,9.01,3.84,WIN
ORWE,SERVICES,buy,BULL,2023-10-15,13.81,13.25,15.13,2,False,30.11,2023-10-17,15.13,8.98,2.36,WIN
ETEL,SERVICES,early,BULL,2023-10-16,27.05,25.96,29.63,2,False,36.26,2023-10-18,29.63,8.96,2.37,WIN
AMOC,INDUSTRIAL,early,BULL,2023-10-17,7.56,7.37,8.28,3,False,31.14,2023-10-22,8.28,8.95,3.79,WIN
ORWE,SERVICES,early,BULL,2023-10-18,15.29,14.67,16.75,5,False,34.0,2023-10-25,16.75,8.97,2.35,WIN
ISPH,ENERGY,early,BULL,2023-10-25,2.26,2.2,2.47,1,False,33.04,2023-10-26,2.2,-3.23,1.0,LOSS
HRHO,SERVICES,early,NEUTRAL,2023-10-19,15.76,15.13,17.27,6,False,30.46,2023-10-29,17.27,9.01,2.4,WIN
PHDC,REAL_ESTATE,early,BULL,2023-10-25,2.3,2.24,2.52,2,False,31.56,2023-10-29,2.52,8.99,3.67,WIN
ISPH,ENERGY,early,BULL,2023-10-26,2.2,2.11,2.41,2,False,33.01,2023-10-30,2.41,8.97,2.33,WIN
HELI,REAL_ESTATE,early,BULL,2023-10-26,10.91,10.47,11.95,4,False,35.55,2023-11-01,10.47,-4.61,1.0,LOSS
JUFO,SERVICES,early,BULL,2023-10-18,13.21,12.68,14.47,11,False,34.68,2023-11-02,14.47,8.96,2.38,WIN
HELI,REAL_ESTATE,early,NEUTRAL,2023-11-01,10.69,10.26,11.71,7,False,30.69,2023-11-12,10.26,-4.6,1.0,LOSS
FWRY,SERVICES,ultra,NEUTRAL,2023-11-22,5.21,5.06,5.71,9,False,30.26,2023-12-05,5.71,9.02,3.33,WIN
PHDC,REAL_ESTATE,early,NEUTRAL,2024-01-08,3.08,3.01,3.38,5,False,31.25,2024-01-15,3.38,9.17,4.29,WIN
SKPC,INDUSTRIAL,early,NEUTRAL,2023-12-31,27.05,26.38,29.64,10,False,30.62,2024-01-16,29.64,9.0,3.87,WIN
JUFO,SERVICES,early,NEUTRAL,2024-01-10,16.39,15.73,17.95,8,False,31.82,2024-01-22,17.95,8.94,2.36,WIN
ISPH,ENERGY,early,BULL,2024-02-06,3.36,3.22,3.68,1,False,33.58,2024-02-07,3.22,-4.74,1.0,LOSS
HELI,REAL_ESTATE,ultra,NEUTRAL,2024-02-07,10.16,9.86,11.13,8,False,31.8,2024-02-19,11.13,8.97,3.23,WIN
FWRY,SERVICES,early,NEUTRAL,2024-02-15,5.82,5.65,6.38,6,False,31.77,2024-02-25,5.65,-3.5,1.0,LOSS
HRHO,SERVICES,ultra,BULL,2024-03-06,20.05,19.44,21.96,2,False,32.69,2024-03-10,21.96,8.95,3.13,WIN
COMI,BANKS,early,NEUTRAL,2024-03-07,79.69,77.29,87.3,2,False,32.71,2024-03-11,87.3,8.97,3.17,WIN
ABUK,ENERGY,early,NEUTRAL,2024-04-16,57.3,55.57,62.77,2,False,33.17,2024-04-18,55.57,-3.59,1.0,LOSS
OCDI,REAL_ESTATE,ultra,NEUTRAL,2024-04-21,51.74,50.18,56.68,1,False,31.61,2024-04-22,50.18,-3.59,1.0,LOSS
