sym,sector,signal_type,regime,entry_date,entry,stop,target,bars_held,is_short,smart_rank,exit_date,exit,pnl_pct,rr,outcome
FWRY,SERVICES,early,NEUTRAL,2025-01-06,9.0,8.73,9.86,3,False,25.79,2025-01-12,8.73,-3.57,1.0,LOSS
PHDC,REAL_ESTATE,early,NEUTRAL,2025-01-05,7.02,6.74,7.7,5,False,25.96,2025-01-13,6.74,-4.56,1.0,LOSS
HRHO,SERVICES,ultra,NEUTRAL,2025-01-06,20.53,19.91,22.49,4,False,25.98,2025-01-13,19.91,-3.59,1.0,LOSS
ESRS,INDUSTRIAL,early,NEUTRAL,2025-01-02,113.95,110.51,124.83,7,False,31.31,2025-01-14,124.83,8.97,3.16,WIN
KZPC,INDUSTRIAL,ultra,NEUTRAL,2025-01-09,11.53,11.19,12.64,3,False,34.93,2025-01-14,11.19,-3.52,1.0,LOSS
AMOC,INDUSTRIAL,ultra,NEUTRAL,2025-01-12,6.9,6.7,7.56,2,False,26.59,2025-01-14,6.7,-3.47,1.0,LOSS
ABUK,ENERGY,early,BULL,2025-01-13,45.51,43.68,49.86,4,False,35.02,2025-01-19,49.86,8.98,2.38,WIN
SKPC,INDUSTRIAL,buy,BULL,2025-01-14,18.85,18.09,20.65,15,False,30.41,2025-02-04,19.33062171936035,1.97,0.63,EXIT
AMOC,INDUSTRIAL,ultra,BULL,2025-01-15,6.94,6.73,7.6,15,False,36.38,2025-02-05,7.04613733291626,0.95,0.51,EXIT
MFPC,ENERGY,early,BULL,2025-01-16,37.46,35.96,41.04,15,False,37.4,2025-02-06,37.670753479003906,-0.01,0.14,EXIT
OCDI,REAL_ESTATE,early,NEUTRAL,2025-01-20,60.33,57.9,66.09,15,False,31.52,2025-02-10,61.43000030517578,1.25,0.45,EXIT
HRHO,SERVICES,ultra,NEUTRAL,2025-01-21,20.35,19.73,22.29,14,False,25.37,2025-02-10,22.29,8.96,3.13,WIN
ADIB,BANKS,ultra,NEUTRAL,2025-02-04,38.71,37.54,42.4,5,False,34.16,2025-02-11,37.54,-3.6,1.0,LOSS
SKPC,INDUSTRIAL,early,NEUTRAL,2025-02-06,20.0,19.4,21.91,4,False,31.24,2025-02-12,19.4,-3.57,1.0,LOSS
ABUK,ENERGY,early,NEUTRAL,2025-02-05,48.1,46.17,52.7,10,False,26.68,2025-02-19,52.7,8.99,2.38,WIN
ETEL,SERVICES,ultra,NEUTRAL,2025-02-11,32.62,31.64,35.73,6,False,25.0,2025-02-19,35.73,8.96,3.17,WIN
HRHO,SERVICES,early,NEUTRAL,2025-02-16,23.51,22.92,25.76,4,False,25.52,2025-02-20,25.76,9.0,3.81,WIN
COMI,BANKS,early,NEUTRAL,2025-02-19,77.26,74.15,84.63,6,False,29.1,2025-02-27,74.15,-4.6,1.0,LOSS
ORWE,SERVICES,ultra,NEUTRAL,2025-02-20,23.33,22.62,25.55,5,False,25.0,2025-02-27,22.62,-3.62,1.0,LOSS
EAST,ENERGY,early,NEUTRAL,2025-02-10,27.98,26.86,30.65,15,False,23.47,2025-03-03,29.067188262939453,3.31,0.97,EXIT
CIEB,BANKS,early,NEUTRAL,2025-02-12,16.79,16.29,18.4,15,False,30.68,2025-03-05,17.348073959350586,2.75,1.12,EXIT
ABUK,ENERGY,early,NEUTRAL,2025-03-03,53.91,52.56,59.06,2,False,24.87,2025-03-05,52.56,-3.08,1.0,LOSS
TMGH,REAL_ESTATE,early,NEUTRAL,2025-02-27,53.47,52.12,58.57,8,False,35.17,2025-03-11,52.12,-3.1,1.0,LOSS
KZPC,INDUSTRIAL,ultra,NEUTRAL,2025-02-20,10.68,10.36,11.7,15,False,27.17,2025-03-13,10.594039916992188,-1.38,0.27,EXIT
FWRY,SERVICES,ultra,NEUTRAL,2025-03-05,8.2,7.95,8.98,6,False,25.0,2025-03-13,8.98,8.94,3.12,WIN
ISPH,ENERGY,ultra,NEUTRAL,2025-03-11,7.16,6.95,7.85,2,False,22.85,2025-03-13,7.85,9.06,3.29,WIN
SKPC,INDUSTRIAL,early,NEUTRAL,2025-02-27,21.25,20.4,23.28,15,False,24.76,2025-03-20,20.7347354888916,-3.0,0.61,EXIT
HELI,REAL_ESTATE,early,NEUTRAL,2025-03-05,10.14,9.73,11.1,15,False,23.66,2025-03-26,10.523652076721191,3.21,0.94,EXIT
